"LOCATION","Country","SUBJECT","Subject","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2005","2005",,,"0","Units",,,10404.22,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2006","2006",,,"0","Units",,,10632.72,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2007","2007",,,"0","Units",,,10911.88,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2008","2008",,,"0","Units",,,11205.63,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2009","2009",,,"0","Units",,,11441.82,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2010","2010",,,"0","Units",,,11628.23,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2011","2011",,,"0","Units",,,11814.1,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2012","2012",,,"0","Units",,,11976.4,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2013","2013",,,"0","Units",,,12144.32,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2014","2014",,,"0","Units",,,12286.8,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2015","2015",,,"0","Units",,,12524.53,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2016","2016",,,"0","Units",,,12698.14,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2017","2017",,,"0","Units",,,12977.56,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2018","2018",,,"0","Units",,,13287.7,,
"AUT","Austria","YGTT07L1_ST","Labour force","A","Annual","2005","2005",,,"0","Units",,,3970.875,,
"AUT","Austria","YGTT07L1_ST","Labour force","A","Annual","2006","2006",,,"0","Units",,,4037.65,"B","Break"
"AUT","Austria","YGTT07L1_ST","Labour force","A","Annual","2007","2007",,,"0","Units",,,4123.925,,
"AUT","Austria","YGTT07L1_ST","Labour force","A","Annual","2008","2008",,,"0","Units",,,4166.05,,
"AUT","Austria","YGTT07L1_ST","Labour force","A","Annual","2009","2009",,,"0","Units",,,4205.125,,
"AUT","Austria","YGTT07L1_ST","Labour force","A","Annual","2010","2010",,,"0","Units",,,4220.075,,
"AUT","Austria","YGTT07L1_ST","Labour force","A","Annual","2011","2011",,,"0","Units",,,4246.225,,
"AUT","Austria","YGTT07L1_ST","Labour force","A","Annual","2012","2012",,,"0","Units",,,4293.375,,
"AUT","Austria","YGTT07L1_ST","Labour force","A","Annual","2013","2013",,,"0","Units",,,4336.05,,
"AUT","Austria","YGTT07L1_ST","Labour force","A","Annual","2014","2014",,,"0","Units",,,4357.575,,
"AUT","Austria","YGTT07L1_ST","Labour force","A","Annual","2015","2015",,,"0","Units",,,4400.1,,
"AUT","Austria","YGTT07L1_ST","Labour force","A","Annual","2016","2016",,,"0","Units",,,4490.25,,
"AUT","Austria","YGTT07L1_ST","Labour force","A","Annual","2017","2017",,,"0","Units",,,4508.325,,
"AUT","Austria","YGTT07L1_ST","Labour force","A","Annual","2018","2018",,,"0","Units",,,4539.075,,
"BEL","Belgium","YGTT07L1_ST","Labour force","A","Annual","2005","2005",,,"0","Units",,,4625.85,,
"BEL","Belgium","YGTT07L1_ST","Labour force","A","Annual","2006","2006",,,"0","Units",,,4647.15,,
"BEL","Belgium","YGTT07L1_ST","Labour force","A","Annual","2007","2007",,,"0","Units",,,4733.3,,
"BEL","Belgium","YGTT07L1_ST","Labour force","A","Annual","2008","2008",,,"0","Units",,,4779.3,,
"BEL","Belgium","YGTT07L1_ST","Labour force","A","Annual","2009","2009",,,"0","Units",,,4800.275,,
"BEL","Belgium","YGTT07L1_ST","Labour force","A","Annual","2010","2010",,,"0","Units",,,4894.6,"B","Break"
"BEL","Belgium","YGTT07L1_ST","Labour force","A","Annual","2011","2011",,,"0","Units",,,4855.95,,
"BEL","Belgium","YGTT07L1_ST","Labour force","A","Annual","2012","2012",,,"0","Units",,,4892.925,,
"BEL","Belgium","YGTT07L1_ST","Labour force","A","Annual","2013","2013",,,"0","Units",,,4947.125,,
"BEL","Belgium","YGTT07L1_ST","Labour force","A","Annual","2014","2014",,,"0","Units",,,4966.85,,
"BEL","Belgium","YGTT07L1_ST","Labour force","A","Annual","2015","2015",,,"0","Units",,,4973.475,,
"BEL","Belgium","YGTT07L1_ST","Labour force","A","Annual","2016","2016",,,"0","Units",,,4976.3,"B","Break"
"BEL","Belgium","YGTT07L1_ST","Labour force","A","Annual","2017","2017",,,"0","Units",,,4991.5,,
"BEL","Belgium","YGTT07L1_ST","Labour force","A","Annual","2018","2018",,,"0","Units",,,5055.9,,
"CAN","Canada","YGTT07L1_ST","Labour force","A","Annual","2005","2005",,,"0","Units",,,17292.13,,
"CAN","Canada","YGTT07L1_ST","Labour force","A","Annual","2006","2006",,,"0","Units",,,17502.2,,
"CAN","Canada","YGTT07L1_ST","Labour force","A","Annual","2007","2007",,,"0","Units",,,17846.53,,
"CAN","Canada","YGTT07L1_ST","Labour force","A","Annual","2008","2008",,,"0","Units",,,18122.4,,
"CAN","Canada","YGTT07L1_ST","Labour force","A","Annual","2009","2009",,,"0","Units",,,18250.43,,
"CAN","Canada","YGTT07L1_ST","Labour force","A","Annual","2010","2010",,,"0","Units",,,18450.53,,
"CAN","Canada","YGTT07L1_ST","Labour force","A","Annual","2011","2011",,,"0","Units",,,18619.57,,
"CAN","Canada","YGTT07L1_ST","Labour force","A","Annual","2012","2012",,,"0","Units",,,18809.53,,
"CAN","Canada","YGTT07L1_ST","Labour force","A","Annual","2013","2013",,,"0","Units",,,19037.78,,
"CAN","Canada","YGTT07L1_ST","Labour force","A","Annual","2014","2014",,,"0","Units",,,19124.46,,
"CAN","Canada","YGTT07L1_ST","Labour force","A","Annual","2015","2015",,,"0","Units",,,19278.04,,
"CAN","Canada","YGTT07L1_ST","Labour force","A","Annual","2016","2016",,,"0","Units",,,19440.52,,
"CAN","Canada","YGTT07L1_ST","Labour force","A","Annual","2017","2017",,,"0","Units",,,19662.94,,
"CAN","Canada","YGTT07L1_ST","Labour force","A","Annual","2018","2018",,,"0","Units",,,19812.81,,
"CZE","Czech Republic","YGTT07L1_ST","Labour force","A","Annual","2005","2005",,,"0","Units",,,5174.2,,
"CZE","Czech Republic","YGTT07L1_ST","Labour force","A","Annual","2006","2006",,,"0","Units",,,5199.725,,
"CZE","Czech Republic","YGTT07L1_ST","Labour force","A","Annual","2007","2007",,,"0","Units",,,5198.575,,
"CZE","Czech Republic","YGTT07L1_ST","Labour force","A","Annual","2008","2008",,,"0","Units",,,5232.3,,
"CZE","Czech Republic","YGTT07L1_ST","Labour force","A","Annual","2009","2009",,,"0","Units",,,5286.45,,
"CZE","Czech Republic","YGTT07L1_ST","Labour force","A","Annual","2010","2010",,,"0","Units",,,5268.75,"B","Break"
"CZE","Czech Republic","YGTT07L1_ST","Labour force","A","Annual","2011","2011",,,"0","Units",,,5223.225,,
"CZE","Czech Republic","YGTT07L1_ST","Labour force","A","Annual","2012","2012",,,"0","Units",,,5256.8,,
"CZE","Czech Republic","YGTT07L1_ST","Labour force","A","Annual","2013","2013",,,"0","Units",,,5306,,
"CZE","Czech Republic","YGTT07L1_ST","Labour force","A","Annual","2014","2014",,,"0","Units",,,5297.875,,
"CZE","Czech Republic","YGTT07L1_ST","Labour force","A","Annual","2015","2015",,,"0","Units",,,5309.85,,
"CZE","Czech Republic","YGTT07L1_ST","Labour force","A","Annual","2016","2016",,,"0","Units",,,5349.975,,
"CZE","Czech Republic","YGTT07L1_ST","Labour force","A","Annual","2017","2017",,,"0","Units",,,5376.975,,
"CZE","Czech Republic","YGTT07L1_ST","Labour force","A","Annual","2018","2018",,,"0","Units",,,5415.3,,
"DNK","Denmark","YGTT07L1_ST","Labour force","A","Annual","2005","2005",,,"0","Units",,,2892.075,,
"DNK","Denmark","YGTT07L1_ST","Labour force","A","Annual","2006","2006",,,"0","Units",,,2919.125,,
"DNK","Denmark","YGTT07L1_ST","Labour force","A","Annual","2007","2007",,,"0","Units",,,2914.45,,
"DNK","Denmark","YGTT07L1_ST","Labour force","A","Annual","2008","2008",,,"0","Units",,,2954.2,,
"DNK","Denmark","YGTT07L1_ST","Labour force","A","Annual","2009","2009",,,"0","Units",,,2947.5,,
"DNK","Denmark","YGTT07L1_ST","Labour force","A","Annual","2010","2010",,,"0","Units",,,2924.4,,
"DNK","Denmark","YGTT07L1_ST","Labour force","A","Annual","2011","2011",,,"0","Units",,,2924.125,,
"DNK","Denmark","YGTT07L1_ST","Labour force","A","Annual","2012","2012",,,"0","Units",,,2907.45,,
"DNK","Denmark","YGTT07L1_ST","Labour force","A","Annual","2013","2013",,,"0","Units",,,2889.825,,
"DNK","Denmark","YGTT07L1_ST","Labour force","A","Annual","2014","2014",,,"0","Units",,,2905.55,,
"DNK","Denmark","YGTT07L1_ST","Labour force","A","Annual","2015","2015",,,"0","Units",,,2932.925,"B","Break"
"DNK","Denmark","YGTT07L1_ST","Labour force","A","Annual","2016","2016",,,"0","Units",,,3026.775,"B","Break"
"DNK","Denmark","YGTT07L1_ST","Labour force","A","Annual","2017","2017",,,"0","Units",,,2987.725,,
"DNK","Denmark","YGTT07L1_ST","Labour force","A","Annual","2018","2018",,,"0","Units",,,3018.1,,
"FIN","Finland","YGTT07L1_ST","Labour force","A","Annual","2005","2005",,,"0","Units",,,2620.5,,
"FIN","Finland","YGTT07L1_ST","Labour force","A","Annual","2006","2006",,,"0","Units",,,2647.85,,
"FIN","Finland","YGTT07L1_ST","Labour force","A","Annual","2007","2007",,,"0","Units",,,2674.975,"B","Break"
"FIN","Finland","YGTT07L1_ST","Labour force","A","Annual","2008","2008",,,"0","Units",,,2703.05,,
"FIN","Finland","YGTT07L1_ST","Labour force","A","Annual","2009","2009",,,"0","Units",,,2678.225,,
"FIN","Finland","YGTT07L1_ST","Labour force","A","Annual","2010","2010",,,"0","Units",,,2671.75,,
"FIN","Finland","YGTT07L1_ST","Labour force","A","Annual","2011","2011",,,"0","Units",,,2682.375,,
"FIN","Finland","YGTT07L1_ST","Labour force","A","Annual","2012","2012",,,"0","Units",,,2690.075,,
"FIN","Finland","YGTT07L1_ST","Labour force","A","Annual","2013","2013",,,"0","Units",,,2675.975,,
"FIN","Finland","YGTT07L1_ST","Labour force","A","Annual","2014","2014",,,"0","Units",,,2679.325,,
"FIN","Finland","YGTT07L1_ST","Labour force","A","Annual","2015","2015",,,"0","Units",,,2688.925,,
"FIN","Finland","YGTT07L1_ST","Labour force","A","Annual","2016","2016",,,"0","Units",,,2684.875,,
"FIN","Finland","YGTT07L1_ST","Labour force","A","Annual","2017","2017",,,"0","Units",,,2707.075,,
"FIN","Finland","YGTT07L1_ST","Labour force","A","Annual","2018","2018",,,"0","Units",,,2741.725,,
"FRA","France","YGTT07L1_ST","Labour force","A","Annual","2005","2005",,,"0","Units",,,27303.18,,
"FRA","France","YGTT07L1_ST","Labour force","A","Annual","2006","2006",,,"0","Units",,,27470.8,,
"FRA","France","YGTT07L1_ST","Labour force","A","Annual","2007","2007",,,"0","Units",,,27708.25,,
"FRA","France","YGTT07L1_ST","Labour force","A","Annual","2008","2008",,,"0","Units",,,27896.93,,
"FRA","France","YGTT07L1_ST","Labour force","A","Annual","2009","2009",,,"0","Units",,,28132.05,,
"FRA","France","YGTT07L1_ST","Labour force","A","Annual","2010","2010",,,"0","Units",,,28235.75,,
"FRA","France","YGTT07L1_ST","Labour force","A","Annual","2011","2011",,,"0","Units",,,28248.3,,
"FRA","France","YGTT07L1_ST","Labour force","A","Annual","2012","2012",,,"0","Units",,,28481.82,,
"FRA","France","YGTT07L1_ST","Labour force","A","Annual","2013","2013",,,"0","Units",,,28625.07,"B","Break"
"FRA","France","YGTT07L1_ST","Labour force","A","Annual","2014","2014",,,"0","Units",,,29402.65,,
"FRA","France","YGTT07L1_ST","Labour force","A","Annual","2015","2015",,,"0","Units",,,29477.43,,
"FRA","France","YGTT07L1_ST","Labour force","A","Annual","2016","2016",,,"0","Units",,,29556.25,,
"FRA","France","YGTT07L1_ST","Labour force","A","Annual","2017","2017",,,"0","Units",,,29667.55,,
"FRA","France","YGTT07L1_ST","Labour force","A","Annual","2018","2018",,,"0","Units",,,29823.88,,
"DEU","Germany","YGTT07L1_ST","Labour force","A","Annual","2005","2005",,,"0","Units",,,40932.45,,
"DEU","Germany","YGTT07L1_ST","Labour force","A","Annual","2006","2006",,,"0","Units",,,41417.7,,
"DEU","Germany","YGTT07L1_ST","Labour force","A","Annual","2007","2007",,,"0","Units",,,41589.63,,
"DEU","Germany","YGTT07L1_ST","Labour force","A","Annual","2008","2008",,,"0","Units",,,41677.48,,
"DEU","Germany","YGTT07L1_ST","Labour force","A","Annual","2009","2009",,,"0","Units",,,41699.27,"B","Break"
"DEU","Germany","YGTT07L1_ST","Labour force","A","Annual","2010","2010",,,"0","Units",,,40838.35,"B","Break"
"DEU","Germany","YGTT07L1_ST","Labour force","A","Annual","2011","2011",,,"0","Units",,,41185.98,,
"DEU","Germany","YGTT07L1_ST","Labour force","A","Annual","2012","2012",,,"0","Units",,,41350.93,,
"DEU","Germany","YGTT07L1_ST","Labour force","A","Annual","2013","2013",,,"0","Units",,,41713.2,,
"DEU","Germany","YGTT07L1_ST","Labour force","A","Annual","2014","2014",,,"0","Units",,,41961.25,,
"DEU","Germany","YGTT07L1_ST","Labour force","A","Annual","2015","2015",,,"0","Units",,,42160.43,,
"DEU","Germany","YGTT07L1_ST","Labour force","A","Annual","2016","2016",,,"0","Units",,,43041.38,,
"DEU","Germany","YGTT07L1_ST","Labour force","A","Annual","2017","2017",,,"0","Units",,,43284.82,,
"DEU","Germany","YGTT07L1_ST","Labour force","A","Annual","2018","2018",,,"0","Units",,,43382.32,,
"GRC","Greece","YGTT07L1_ST","Labour force","A","Annual","2005","2005",,,"0","Units",,,4936.9,,
"GRC","Greece","YGTT07L1_ST","Labour force","A","Annual","2006","2006",,,"0","Units",,,4975.725,,
"GRC","Greece","YGTT07L1_ST","Labour force","A","Annual","2007","2007",,,"0","Units",,,4982.4,,
"GRC","Greece","YGTT07L1_ST","Labour force","A","Annual","2008","2008",,,"0","Units",,,4998.3,"B","Break"
"GRC","Greece","YGTT07L1_ST","Labour force","A","Annual","2009","2009",,,"0","Units",,,5040.725,,
"GRC","Greece","YGTT07L1_ST","Labour force","A","Annual","2010","2010",,,"0","Units",,,5029.1,,
"GRC","Greece","YGTT07L1_ST","Labour force","A","Annual","2011","2011",,,"0","Units",,,4936.15,,
"GRC","Greece","YGTT07L1_ST","Labour force","A","Annual","2012","2012",,,"0","Units",,,4890.1,,
"GRC","Greece","YGTT07L1_ST","Labour force","A","Annual","2013","2013",,,"0","Units",,,4843.55,,
"GRC","Greece","YGTT07L1_ST","Labour force","A","Annual","2014","2014",,,"0","Units",,,4810.65,,
"GRC","Greece","YGTT07L1_ST","Labour force","A","Annual","2015","2015",,,"0","Units",,,4807.65,,
"GRC","Greece","YGTT07L1_ST","Labour force","A","Annual","2016","2016",,,"0","Units",,,4804.5,,
"GRC","Greece","YGTT07L1_ST","Labour force","A","Annual","2017","2017",,,"0","Units",,,4779.75,,
"GRC","Greece","YGTT07L1_ST","Labour force","A","Annual","2018","2018",,,"0","Units",,,4743.025,,
"HUN","Hungary","YGTT07L1_ST","Labour force","A","Annual","2005","2005",,,"0","Units",,,4203.675,,
"HUN","Hungary","YGTT07L1_ST","Labour force","A","Annual","2006","2006",,,"0","Units",,,4246.6,,
"HUN","Hungary","YGTT07L1_ST","Labour force","A","Annual","2007","2007",,,"0","Units",,,4214.075,,
"HUN","Hungary","YGTT07L1_ST","Labour force","A","Annual","2008","2008",,,"0","Units",,,4174.625,,
"HUN","Hungary","YGTT07L1_ST","Labour force","A","Annual","2009","2009",,,"0","Units",,,4165.6,,
"HUN","Hungary","YGTT07L1_ST","Labour force","A","Annual","2010","2010",,,"0","Units",,,4201.8,,
"HUN","Hungary","YGTT07L1_ST","Labour force","A","Annual","2011","2011",,,"0","Units",,,4224.975,,
"HUN","Hungary","YGTT07L1_ST","Labour force","A","Annual","2012","2012",,,"0","Units",,,4300.375,,
"HUN","Hungary","YGTT07L1_ST","Labour force","A","Annual","2013","2013",,,"0","Units",,,4333.8,,
"HUN","Hungary","YGTT07L1_ST","Labour force","A","Annual","2014","2014",,,"0","Units",,,4444.2,,
"HUN","Hungary","YGTT07L1_ST","Labour force","A","Annual","2015","2015",,,"0","Units",,,4518.375,,
"HUN","Hungary","YGTT07L1_ST","Labour force","A","Annual","2016","2016",,,"0","Units",,,4586.225,,
"HUN","Hungary","YGTT07L1_ST","Labour force","A","Annual","2017","2017",,,"0","Units",,,4613.1,,
"HUN","Hungary","YGTT07L1_ST","Labour force","A","Annual","2018","2018",,,"0","Units",,,4641.6,,
"ISL","Iceland","YGTT07L1_ST","Labour force","A","Annual","2005","2005",,,"0","Units",,,164.025,,
"ISL","Iceland","YGTT07L1_ST","Labour force","A","Annual","2006","2006",,,"0","Units",,,172.725,,
"ISL","Iceland","YGTT07L1_ST","Labour force","A","Annual","2007","2007",,,"0","Units",,,179.575,"B","Break"
"ISL","Iceland","YGTT07L1_ST","Labour force","A","Annual","2008","2008",,,"0","Units",,,182.425,,
"ISL","Iceland","YGTT07L1_ST","Labour force","A","Annual","2009","2009",,,"0","Units",,,179.175,,
"ISL","Iceland","YGTT07L1_ST","Labour force","A","Annual","2010","2010",,,"0","Units",,,179.325,,
"ISL","Iceland","YGTT07L1_ST","Labour force","A","Annual","2011","2011",,,"0","Units",,,178.55,,
"ISL","Iceland","YGTT07L1_ST","Labour force","A","Annual","2012","2012",,,"0","Units",,,178.625,,
"ISL","Iceland","YGTT07L1_ST","Labour force","A","Annual","2013","2013",,,"0","Units",,,183.1,,
"ISL","Iceland","YGTT07L1_ST","Labour force","A","Annual","2014","2014",,,"0","Units",,,186.75,,
"ISL","Iceland","YGTT07L1_ST","Labour force","A","Annual","2015","2015",,,"0","Units",,,191.25,,
"ISL","Iceland","YGTT07L1_ST","Labour force","A","Annual","2016","2016",,,"0","Units",,,196.3,,
"ISL","Iceland","YGTT07L1_ST","Labour force","A","Annual","2017","2017",,,"0","Units",,,199.325,,
"ISL","Iceland","YGTT07L1_ST","Labour force","A","Annual","2018","2018",,,"0","Units",,,203.875,,
"IRL","Ireland","YGTT07L1_ST","Labour force","A","Annual","2005","2005",,,"0","Units",,,2040.6,,
"IRL","Ireland","YGTT07L1_ST","Labour force","A","Annual","2006","2006",,,"0","Units",,,2138.125,"B","Break"
"IRL","Ireland","YGTT07L1_ST","Labour force","A","Annual","2007","2007",,,"0","Units",,,2337.8,,
"IRL","Ireland","YGTT07L1_ST","Labour force","A","Annual","2008","2008",,,"0","Units",,,2358.8,,
"IRL","Ireland","YGTT07L1_ST","Labour force","A","Annual","2009","2009",,,"0","Units",,,2305.925,,
"IRL","Ireland","YGTT07L1_ST","Labour force","A","Annual","2010","2010",,,"0","Units",,,2253,,
"IRL","Ireland","YGTT07L1_ST","Labour force","A","Annual","2011","2011",,,"0","Units",,,2230.975,,
"IRL","Ireland","YGTT07L1_ST","Labour force","A","Annual","2012","2012",,,"0","Units",,,2224.1,,
"IRL","Ireland","YGTT07L1_ST","Labour force","A","Annual","2013","2013",,,"0","Units",,,2246.325,,
"IRL","Ireland","YGTT07L1_ST","Labour force","A","Annual","2014","2014",,,"0","Units",,,2256.325,,
"IRL","Ireland","YGTT07L1_ST","Labour force","A","Annual","2015","2015",,,"0","Units",,,2283.575,,
