"LOCATION","Country","SUBJECT","Subject","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"SWE","Sweden","YGTT07L1_ST","Labour force","A","Annual","2015","2015",,,"0","Units",,,5225.125,,
"SWE","Sweden","YGTT07L1_ST","Labour force","A","Annual","2016","2016",,,"0","Units",,,5278.925,,
"SWE","Sweden","YGTT07L1_ST","Labour force","A","Annual","2017","2017",,,"0","Units",,,5383.3,,
"SWE","Sweden","YGTT07L1_ST","Labour force","A","Annual","2018","2018",,,"0","Units",,,5459.1,,
"CHE","Switzerland","YGTT07L1_ST","Labour force","A","Annual","2005","2005",,,"0","Units",,,4159,,
"CHE","Switzerland","YGTT07L1_ST","Labour force","A","Annual","2006","2006",,,"0","Units",,,4220.2,,
"CHE","Switzerland","YGTT07L1_ST","Labour force","A","Annual","2007","2007",,,"0","Units",,,4278.3,,
"CHE","Switzerland","YGTT07L1_ST","Labour force","A","Annual","2008","2008",,,"0","Units",,,4375.4,,
"CHE","Switzerland","YGTT07L1_ST","Labour force","A","Annual","2009","2009",,,"0","Units",,,4451.2,"B","Break"
"CHE","Switzerland","YGTT07L1_ST","Labour force","A","Annual","2010","2010",,,"0","Units",,,4419.9,,
"CHE","Switzerland","YGTT07L1_ST","Labour force","A","Annual","2011","2011",,,"0","Units",,,4496,,
"CHE","Switzerland","YGTT07L1_ST","Labour force","A","Annual","2012","2012",,,"0","Units",,,4555.675,,
"CHE","Switzerland","YGTT07L1_ST","Labour force","A","Annual","2013","2013",,,"0","Units",,,4611.875,,
"CHE","Switzerland","YGTT07L1_ST","Labour force","A","Annual","2014","2014",,,"0","Units",,,4695.625,,
"CHE","Switzerland","YGTT07L1_ST","Labour force","A","Annual","2015","2015",,,"0","Units",,,4767.275,,
"CHE","Switzerland","YGTT07L1_ST","Labour force","A","Annual","2016","2016",,,"0","Units",,,4842.55,,
"CHE","Switzerland","YGTT07L1_ST","Labour force","A","Annual","2017","2017",,,"0","Units",,,4870.35,,
"CHE","Switzerland","YGTT07L1_ST","Labour force","A","Annual","2018","2018",,,"0","Units",,,4906.575,,
"TUR","Turkey","YGTT07L1_ST","Labour force","A","Annual","2006","2006",,,"0","Units",,,22384.75,,
"TUR","Turkey","YGTT07L1_ST","Labour force","A","Annual","2007","2007",,,"0","Units",,,22769,,
"TUR","Turkey","YGTT07L1_ST","Labour force","A","Annual","2008","2008",,,"0","Units",,,23472.13,,
"TUR","Turkey","YGTT07L1_ST","Labour force","A","Annual","2009","2009",,,"0","Units",,,24323.9,,
"TUR","Turkey","YGTT07L1_ST","Labour force","A","Annual","2010","2010",,,"0","Units",,,25288.35,,
"TUR","Turkey","YGTT07L1_ST","Labour force","A","Annual","2011","2011",,,"0","Units",,,26423.57,,
"TUR","Turkey","YGTT07L1_ST","Labour force","A","Annual","2012","2012",,,"0","Units",,,27021.45,,
"TUR","Turkey","YGTT07L1_ST","Labour force","A","Annual","2013","2013",,,"0","Units",,,27961.32,"B","Break"
"TUR","Turkey","YGTT07L1_ST","Labour force","A","Annual","2014","2014",,,"0","Units",,,28773.5,,
"TUR","Turkey","YGTT07L1_ST","Labour force","A","Annual","2015","2015",,,"0","Units",,,29653.9,,
"TUR","Turkey","YGTT07L1_ST","Labour force","A","Annual","2016","2016",,,"0","Units",,,30523.97,,
"TUR","Turkey","YGTT07L1_ST","Labour force","A","Annual","2017","2017",,,"0","Units",,,31617.38,,
"TUR","Turkey","YGTT07L1_ST","Labour force","A","Annual","2018","2018",,,"0","Units",,,32245.32,,
"GBR","United Kingdom","YGTT07L1_ST","Labour force","A","Annual","2005","2005",,,"0","Units",,,30171.95,,
"GBR","United Kingdom","YGTT07L1_ST","Labour force","A","Annual","2006","2006",,,"0","Units",,,30682.1,"B","Break"
"GBR","United Kingdom","YGTT07L1_ST","Labour force","A","Annual","2007","2007",,,"0","Units",,,30885.88,"B","Break"
"GBR","United Kingdom","YGTT07L1_ST","Labour force","A","Annual","2008","2008",,,"0","Units",,,31276.32,,
"GBR","United Kingdom","YGTT07L1_ST","Labour force","A","Annual","2009","2009",,,"0","Units",,,31427.45,,
"GBR","United Kingdom","YGTT07L1_ST","Labour force","A","Annual","2010","2010",,,"0","Units",,,31584.32,,
"GBR","United Kingdom","YGTT07L1_ST","Labour force","A","Annual","2011","2011",,,"0","Units",,,31841.43,,
"GBR","United Kingdom","YGTT07L1_ST","Labour force","A","Annual","2012","2012",,,"0","Units",,,32128.93,,
"GBR","United Kingdom","YGTT07L1_ST","Labour force","A","Annual","2013","2013",,,"0","Units",,,32390.82,,
"GBR","United Kingdom","YGTT07L1_ST","Labour force","A","Annual","2014","2014",,,"0","Units",,,32667.22,,
"GBR","United Kingdom","YGTT07L1_ST","Labour force","A","Annual","2015","2015",,,"0","Units",,,32943.18,,
"GBR","United Kingdom","YGTT07L1_ST","Labour force","A","Annual","2016","2016",,,"0","Units",,,33246.82,,
"GBR","United Kingdom","YGTT07L1_ST","Labour force","A","Annual","2017","2017",,,"0","Units",,,33412.1,,
"GBR","United Kingdom","YGTT07L1_ST","Labour force","A","Annual","2018","2018",,,"0","Units",,,33700.73,,
"USA","United States","YGTT07L1_ST","Labour force","A","Annual","2005","2005",,,"0","Units",,,149320.3,,
"USA","United States","YGTT07L1_ST","Labour force","A","Annual","2006","2006",,,"0","Units",,,151427.6,,
"USA","United States","YGTT07L1_ST","Labour force","A","Annual","2007","2007",,,"0","Units",,,153124.2,,
"USA","United States","YGTT07L1_ST","Labour force","A","Annual","2008","2008",,,"0","Units",,,154286.7,,
"USA","United States","YGTT07L1_ST","Labour force","A","Annual","2009","2009",,,"0","Units",,,154142,,
"USA","United States","YGTT07L1_ST","Labour force","A","Annual","2010","2010",,,"0","Units",,,153888.6,,
"USA","United States","YGTT07L1_ST","Labour force","A","Annual","2011","2011",,,"0","Units",,,153616.7,,
"USA","United States","YGTT07L1_ST","Labour force","A","Annual","2012","2012",,,"0","Units",,,154974.6,,
"USA","United States","YGTT07L1_ST","Labour force","A","Annual","2013","2013",,,"0","Units",,,155389.2,,
"USA","United States","YGTT07L1_ST","Labour force","A","Annual","2014","2014",,,"0","Units",,,155921.8,,
"USA","United States","YGTT07L1_ST","Labour force","A","Annual","2015","2015",,,"0","Units",,,157129.9,,
"USA","United States","YGTT07L1_ST","Labour force","A","Annual","2016","2016",,,"0","Units",,,159187.2,,
"USA","United States","YGTT07L1_ST","Labour force","A","Annual","2017","2017",,,"0","Units",,,160319.8,,
"USA","United States","YGTT07L1_ST","Labour force","A","Annual","2018","2018",,,"0","Units",,,162075,,
"BRA","Brazil","YGTT07L1_ST","Labour force","A","Annual","2005","2005",,,"0","Units",,,94322.81,,
"BRA","Brazil","YGTT07L1_ST","Labour force","A","Annual","2006","2006",,,"0","Units",,,95643.16,,
"BRA","Brazil","YGTT07L1_ST","Labour force","A","Annual","2007","2007",,,"0","Units",,,96828.89,,
"BRA","Brazil","YGTT07L1_ST","Labour force","A","Annual","2008","2008",,,"0","Units",,,98823.86,,
"BRA","Brazil","YGTT07L1_ST","Labour force","A","Annual","2009","2009",,,"0","Units",,,100551.4,,
"BRA","Brazil","YGTT07L1_ST","Labour force","A","Annual","2011","2011",,,"0","Units",,,100218.5,,
"BRA","Brazil","YGTT07L1_ST","Labour force","A","Annual","2012","2012",,,"0","Units",,,101184,,
"BRA","Brazil","YGTT07L1_ST","Labour force","A","Annual","2013","2013",,,"0","Units",,,102169.9,,
"BRA","Brazil","YGTT07L1_ST","Labour force","A","Annual","2014","2014",,,"0","Units",,,105536.8,,
"BRA","Brazil","YGTT07L1_ST","Labour force","A","Annual","2015","2015",,,"0","Units",,,104479.8,"B","Break"
"BRA","Brazil","YGTT07L1_ST","Labour force","A","Annual","2016","2016",,,"0","Units",,,102368.3,,
"BRA","Brazil","YGTT07L1_ST","Labour force","A","Annual","2017","2017",,,"0","Units",,,103886.1,,
"BRA","Brazil","YGTT07L1_ST","Labour force","A","Annual","2018","2018",,,"0","Units",,,104755.9,,
"CHL","Chile","YGTT07L1_ST","Labour force","A","Annual","2005","2005",,,"0","Units",,,6798.408,,
"CHL","Chile","YGTT07L1_ST","Labour force","A","Annual","2006","2006",,,"0","Units",,,6802.753,,
"CHL","Chile","YGTT07L1_ST","Labour force","A","Annual","2007","2007",,,"0","Units",,,6944.387,,
"CHL","Chile","YGTT07L1_ST","Labour force","A","Annual","2008","2008",,,"0","Units",,,7203,,
"CHL","Chile","YGTT07L1_ST","Labour force","A","Annual","2009","2009",,,"0","Units",,,7299.833,,
"CHL","Chile","YGTT07L1_ST","Labour force","A","Annual","2010","2010",,,"0","Units",,,7762.63,,
"CHL","Chile","YGTT07L1_ST","Labour force","A","Annual","2011","2011",,,"0","Units",,,8060.947,,
"CHL","Chile","YGTT07L1_ST","Labour force","A","Annual","2012","2012",,,"0","Units",,,8149.957,,
"CHL","Chile","YGTT07L1_ST","Labour force","A","Annual","2013","2013",,,"0","Units",,,8277.291,,
"CHL","Chile","YGTT07L1_ST","Labour force","A","Annual","2014","2014",,,"0","Units",,,8442.724,,
"CHL","Chile","YGTT07L1_ST","Labour force","A","Annual","2015","2015",,,"0","Units",,,8559.572,,
"CHL","Chile","YGTT07L1_ST","Labour force","A","Annual","2016","2016",,,"0","Units",,,8678.005,,
"CHL","Chile","YGTT07L1_ST","Labour force","A","Annual","2017","2017",,,"0","Units",,,8867.641,,
"CHL","Chile","YGTT07L1_ST","Labour force","A","Annual","2018","2018",,,"0","Units",,,9018.089,,
"EST","Estonia","YGTT07L1_ST","Labour force","A","Annual","2005","2005",,,"0","Units",,,669.3,,
"EST","Estonia","YGTT07L1_ST","Labour force","A","Annual","2006","2006",,,"0","Units",,,692.675,,
"EST","Estonia","YGTT07L1_ST","Labour force","A","Annual","2007","2007",,,"0","Units",,,689.25,,
"EST","Estonia","YGTT07L1_ST","Labour force","A","Annual","2008","2008",,,"0","Units",,,693.85,,
"EST","Estonia","YGTT07L1_ST","Labour force","A","Annual","2009","2009",,,"0","Units",,,686.95,,
"EST","Estonia","YGTT07L1_ST","Labour force","A","Annual","2010","2010",,,"0","Units",,,681.9,,
"EST","Estonia","YGTT07L1_ST","Labour force","A","Annual","2011","2011",,,"0","Units",,,688.025,,
"EST","Estonia","YGTT07L1_ST","Labour force","A","Annual","2012","2012",,,"0","Units",,,683.4,,
"EST","Estonia","YGTT07L1_ST","Labour force","A","Annual","2013","2013",,,"0","Units",,,680.025,,
"EST","Estonia","YGTT07L1_ST","Labour force","A","Annual","2014","2014",,,"0","Units",,,674.4,,
"EST","Estonia","YGTT07L1_ST","Labour force","A","Annual","2015","2015",,,"0","Units",,,683.15,,
"EST","Estonia","YGTT07L1_ST","Labour force","A","Annual","2016","2016",,,"0","Units",,,691.4,,
"EST","Estonia","YGTT07L1_ST","Labour force","A","Annual","2017","2017",,,"0","Units",,,698.825,,
"EST","Estonia","YGTT07L1_ST","Labour force","A","Annual","2018","2018",,,"0","Units",,,702.425,,
"ISR","Israel","YGTT07L1_ST","Labour force","A","Annual","2005","2005",,,"0","Units",,,2740.075,,
"ISR","Israel","YGTT07L1_ST","Labour force","A","Annual","2006","2006",,,"0","Units",,,2809.725,,
"ISR","Israel","YGTT07L1_ST","Labour force","A","Annual","2007","2007",,,"0","Units",,,2893.8,,
"ISR","Israel","YGTT07L1_ST","Labour force","A","Annual","2008","2008",,,"0","Units",,,2957.025,,
"ISR","Israel","YGTT07L1_ST","Labour force","A","Annual","2009","2009",,,"0","Units",,,3072.85,,
"ISR","Israel","YGTT07L1_ST","Labour force","A","Annual","2010","2010",,,"0","Units",,,3147.125,,
"ISR","Israel","YGTT07L1_ST","Labour force","A","Annual","2011","2011",,,"0","Units",,,3204.2,"B","Break"
"ISR","Israel","YGTT07L1_ST","Labour force","A","Annual","2012","2012",,,"0","Units",,,3606.025,,
"ISR","Israel","YGTT07L1_ST","Labour force","A","Annual","2013","2013",,,"0","Units",,,3677.85,,
"ISR","Israel","YGTT07L1_ST","Labour force","A","Annual","2014","2014",,,"0","Units",,,3778.333,,
"ISR","Israel","YGTT07L1_ST","Labour force","A","Annual","2015","2015",,,"0","Units",,,3845.717,,
"ISR","Israel","YGTT07L1_ST","Labour force","A","Annual","2016","2016",,,"0","Units",,,3925.175,,
"ISR","Israel","YGTT07L1_ST","Labour force","A","Annual","2017","2017",,,"0","Units",,,3993.1,,
"ISR","Israel","YGTT07L1_ST","Labour force","A","Annual","2018","2018",,,"0","Units",,,4067.717,,
"SVN","Slovenia","YGTT07L1_ST","Labour force","A","Annual","2005","2005",,,"0","Units",,,1015.275,,
"SVN","Slovenia","YGTT07L1_ST","Labour force","A","Annual","2006","2006",,,"0","Units",,,1022.025,,
"SVN","Slovenia","YGTT07L1_ST","Labour force","A","Annual","2007","2007",,,"0","Units",,,1035.05,,
"SVN","Slovenia","YGTT07L1_ST","Labour force","A","Annual","2008","2008",,,"0","Units",,,1041.65,,
"SVN","Slovenia","YGTT07L1_ST","Labour force","A","Annual","2009","2009",,,"0","Units",,,1041.675,,
"SVN","Slovenia","YGTT07L1_ST","Labour force","A","Annual","2010","2010",,,"0","Units",,,1041.4,,
"SVN","Slovenia","YGTT07L1_ST","Labour force","A","Annual","2011","2011",,,"0","Units",,,1019.35,,
"SVN","Slovenia","YGTT07L1_ST","Labour force","A","Annual","2012","2012",,,"0","Units",,,1013.35,,
"SVN","Slovenia","YGTT07L1_ST","Labour force","A","Annual","2013","2013",,,"0","Units",,,1007.7,,
"SVN","Slovenia","YGTT07L1_ST","Labour force","A","Annual","2014","2014",,,"0","Units",,,1014.825,,
"SVN","Slovenia","YGTT07L1_ST","Labour force","A","Annual","2015","2015",,,"0","Units",,,1007.775,,
"SVN","Slovenia","YGTT07L1_ST","Labour force","A","Annual","2016","2016",,,"0","Units",,,994.575,,
"SVN","Slovenia","YGTT07L1_ST","Labour force","A","Annual","2017","2017",,,"0","Units",,,1026.475,,
"SVN","Slovenia","YGTT07L1_ST","Labour force","A","Annual","2018","2018",,,"0","Units",,,1033.45,,
"COL","Colombia","YGTT07L1_ST","Labour force","A","Annual","2007","2007",,,"0","Units",,,19064.65,,
"COL","Colombia","YGTT07L1_ST","Labour force","A","Annual","2008","2008",,,"0","Units",,,19476,,
"COL","Colombia","YGTT07L1_ST","Labour force","A","Annual","2009","2009",,,"0","Units",,,20687.67,,
"COL","Colombia","YGTT07L1_ST","Labour force","A","Annual","2010","2010",,,"0","Units",,,21517.77,,
"COL","Colombia","YGTT07L1_ST","Labour force","A","Annual","2011","2011",,,"0","Units",,,22125.68,,
"COL","Colombia","YGTT07L1_ST","Labour force","A","Annual","2012","2012",,,"0","Units",,,22772.32,,
"COL","Colombia","YGTT07L1_ST","Labour force","A","Annual","2013","2013",,,"0","Units",,,23016.82,,
"COL","Colombia","YGTT07L1_ST","Labour force","A","Annual","2014","2014",,,"0","Units",,,23390.81,,
"COL","Colombia","YGTT07L1_ST","Labour force","A","Annual","2015","2015",,,"0","Units",,,23937.73,,
"COL","Colombia","YGTT07L1_ST","Labour force","A","Annual","2016","2016",,,"0","Units",,,24200.61,,
"COL","Colombia","YGTT07L1_ST","Labour force","A","Annual","2017","2017",,,"0","Units",,,24488.77,,
"COL","Colombia","YGTT07L1_ST","Labour force","A","Annual","2018","2018",,,"0","Units",,,24706.93,,
"RUS","Russia","YGTT07L1_ST","Labour force","A","Annual","2005","2005",,,"0","Units",,,73431.7,,
"RUS","Russia","YGTT07L1_ST","Labour force","A","Annual","2006","2006",,,"0","Units",,,74166.9,,
"RUS","Russia","YGTT07L1_ST","Labour force","A","Annual","2007","2007",,,"0","Units",,,75158.97,,
"RUS","Russia","YGTT07L1_ST","Labour force","A","Annual","2008","2008",,,"0","Units",,,75756.56,,
"RUS","Russia","YGTT07L1_ST","Labour force","A","Annual","2009","2009",,,"0","Units",,,75657.75,,
"RUS","Russia","YGTT07L1_ST","Labour force","A","Annual","2010","2010",,,"0","Units",,,75439.75,,
"RUS","Russia","YGTT07L1_ST","Labour force","A","Annual","2011","2011",,,"0","Units",,,75779.02,,
"RUS","Russia","YGTT07L1_ST","Labour force","A","Annual","2012","2012",,,"0","Units",,,75676.08,,
"RUS","Russia","YGTT07L1_ST","Labour force","A","Annual","2013","2013",,,"0","Units",,,75528.91,,
"RUS","Russia","YGTT07L1_ST","Labour force","A","Annual","2014","2014",,,"0","Units",,,75428.41,,
"RUS","Russia","YGTT07L1_ST","Labour force","A","Annual","2015","2015",,,"0","Units",,,76587.55,,
"RUS","Russia","YGTT07L1_ST","Labour force","A","Annual","2016","2016",,,"0","Units",,,76636.12,,
"RUS","Russia","YGTT07L1_ST","Labour force","A","Annual","2017","2017",,,"0","Units",,,76108.52,,
"RUS","Russia","YGTT07L1_ST","Labour force","A","Annual","2018","2018",,,"0","Units",,,76190.11,,
"LVA","Latvia","YGTT07L1_ST","Labour force","A","Annual","2005","2005",,,"0","Units",,,1080.8,,
"LVA","Latvia","YGTT07L1_ST","Labour force","A","Annual","2006","2006",,,"0","Units",,,1108.9,,
"LVA","Latvia","YGTT07L1_ST","Labour force","A","Annual","2007","2007",,,"0","Units",,,1125.5,,
"LVA","Latvia","YGTT07L1_ST","Labour force","A","Annual","2008","2008",,,"0","Units",,,1143.4,,
"LVA","Latvia","YGTT07L1_ST","Labour force","A","Annual","2009","2009",,,"0","Units",,,1101.4,,
"LVA","Latvia","YGTT07L1_ST","Labour force","A","Annual","2010","2010",,,"0","Units",,,1056.5,,
"LVA","Latvia","YGTT07L1_ST","Labour force","A","Annual","2011","2011",,,"0","Units",,,1028.225,,
"LVA","Latvia","YGTT07L1_ST","Labour force","A","Annual","2012","2012",,,"0","Units",,,1030.725,,
"LVA","Latvia","YGTT07L1_ST","Labour force","A","Annual","2013","2013",,,"0","Units",,,1014.25,,
"LVA","Latvia","YGTT07L1_ST","Labour force","A","Annual","2014","2014",,,"0","Units",,,992.25,,
"LVA","Latvia","YGTT07L1_ST","Labour force","A","Annual","2015","2015",,,"0","Units",,,994.225,,
"LVA","Latvia","YGTT07L1_ST","Labour force","A","Annual","2016","2016",,,"0","Units",,,988.625,,
"LVA","Latvia","YGTT07L1_ST","Labour force","A","Annual","2017","2017",,,"0","Units",,,980.25,,
"LVA","Latvia","YGTT07L1_ST","Labour force","A","Annual","2018","2018",,,"0","Units",,,982.175,,
"LTU","Lithuania","YGTT07L1_ST","Labour force","A","Annual","2005","2005",,,"0","Units",,,1564.7,,
"LTU","Lithuania","YGTT07L1_ST","Labour force","A","Annual","2006","2006",,,"0","Units",,,1516.575,,
"LTU","Lithuania","YGTT07L1_ST","Labour force","A","Annual","2007","2007",,,"0","Units",,,1515.975,,
"LTU","Lithuania","YGTT07L1_ST","Labour force","A","Annual","2008","2008",,,"0","Units",,,1515.4,,
"LTU","Lithuania","YGTT07L1_ST","Labour force","A","Annual","2009","2009",,,"0","Units",,,1528.075,,
"LTU","Lithuania","YGTT07L1_ST","Labour force","A","Annual","2010","2010",,,"0","Units",,,1518.075,,
"LTU","Lithuania","YGTT07L1_ST","Labour force","A","Annual","2011","2011",,,"0","Units",,,1481.65,,
"LTU","Lithuania","YGTT07L1_ST","Labour force","A","Annual","2012","2012",,,"0","Units",,,1472.55,,
"LTU","Lithuania","YGTT07L1_ST","Labour force","A","Annual","2013","2013",,,"0","Units",,,1465.225,,
"LTU","Lithuania","YGTT07L1_ST","Labour force","A","Annual","2014","2014",,,"0","Units",,,1477.05,,
"LTU","Lithuania","YGTT07L1_ST","Labour force","A","Annual","2015","2015",,,"0","Units",,,1468.875,,
"LTU","Lithuania","YGTT07L1_ST","Labour force","A","Annual","2016","2016",,,"0","Units",,,1477.55,,
"LTU","Lithuania","YGTT07L1_ST","Labour force","A","Annual","2017","2017",,,"0","Units",,,1457.925,,
"LTU","Lithuania","YGTT07L1_ST","Labour force","A","Annual","2018","2018",,,"0","Units",,,1464.75,,
